DistanceFromVenue,Availability,InterestLevel,RelationshipWithHost,SocialCircleAttendance,MaritalStatus,PersonalInvitation,WeatherForecast,PreviousAttendance,TransportationAvailability,WillAttend
4,0,5,6,79,1,0,1,1,0,1
25,1,7,2,24,0,1,1,1,1,1
15,1,9,2,26,1,1,0,0,0,1
4,0,2,4,51,0,0,1,1,1,1
45,0,8,4,81,0,1,0,0,1,1
12,1,3,5,9,0,0,0,1,0,1
32,1,9,7,49,1,1,0,0,0,1
32,1,10,1,29,0,1,1,1,0,1
28,1,4,10,0,1,1,1,0,0,1
13,1,3,4,53,1,0,1,1,0,1
31,0,10,9,3,0,1,1,1,1,1
14,1,6,8,86,1,0,0,0,1,1
20,1,10,3,6,0,1,1,1,1,1
18,0,9,6,29,1,0,1,1,0,1
29,0,7,9,89,1,1,0,1,1,1
6,0,4,8,64,1,1,0,0,0,1
32,1,3,7,28,1,1,1,1,1,1
29,0,10,7,24,0,0,0,1,1,1
43,0,4,1,39,0,1,1,1,0,1
2,0,3,5,25,0,0,1,0,0,1
23,0,3,7,16,0,1,0,0,0,1
19,1,9,2,30,0,0,1,0,1,1
31,1,4,6,60,0,1,0,1,1,1
5,1,9,2,7,0,1,0,1,1,1
19,0,10,3,68,1,1,0,1,0,1
34,0,5,1,0,1,0,1,0,1,1
10,0,7,3,78,0,0,1,0,1,1
25,0,5,7,99,0,1,1,1,1,1
2,0,1,5,70,1,0,0,0,0,1
11,0,2,4,45,1,0,1,1,1,1
50,1,5,8,90,0,1,1,0,1,1
31,1,6,8,98,0,1,0,0,1,1
15,0,7,1,90,1,1,0,1,1,1
9,1,2,9,19,1,1,0,1,0,1
23,0,10,9,81,1,0,1,1,1,1
19,0,9,2,39,1,0,0,0,0,1
9,1,6,2,1,1,1,0,0,1,1
35,0,2,8,93,0,0,0,0,0,1
21,1,2,6,60,1,0,1,0,1,1
9,0,3,3,93,0,0,1,0,0,1
28,0,1,2,70,1,1,0,0,1,1
46,1,9,5,76,0,1,0,1,1,1
7,0,10,8,96,0,1,1,0,1,1
16,0,4,6,29,0,1,1,0,1,1
16,0,5,3,29,0,1,1,0,0,1
33,1,7,9,86,0,0,0,0,0,1
4,0,1,8,44,1,1,1,0,0,1
4,0,3,10,23,0,1,0,1,1,1
39,0,3,6,83,1,0,1,0,0,1
40,1,2,1,91,0,1,1,1,1,1
17,1,8,2,55,1,0,0,1,0,1
37,1,5,4,82,0,0,1,0,1,1
39,1,1,2,60,0,1,0,0,1,1
29,1,2,3,12,1,0,1,1,1,1
36,0,1,8,79,1,0,0,0,1,1
38,1,6,9,55,1,0,1,0,1,1
39,1,9,6,14,1,1,0,0,0,1
50,0,7,4,10,1,0,0,0,1,1
37,1,5,2,11,0,0,0,0,0,1
35,0,3,7,85,0,0,0,1,0,1
7,1,8,10,88,0,0,0,1,1,1
27,0,10,7,2,1,0,0,1,1,1
28,0,4,10,23,0,1,1,1,0,1
22,1,9,9,88,1,0,1,1,0,1
14,1,5,5,8,0,0,0,0,1,1
7,0,6,10,91,1,1,0,0,0,1
37,0,5,4,45,1,0,1,0,0,1
22,0,10,10,93,0,0,0,1,0,1
5,0,7,6,70,1,0,1,0,1,1
2,0,7,2,59,0,1,1,0,0,1
27,0,1,2,10,0,1,0,1,1,1
21,0,2,9,9,1,1,0,1,0,1
38,1,7,7,2,0,0,0,1,0,1
15,0,8,7,18,1,0,0,0,1,1
21,1,4,5,1,1,1,1,1,1,1
10,1,6,7,16,0,1,1,1,1,1
23,0,10,9,92,1,1,0,1,1,1
39,0,3,10,1,1,1,0,0,0,1
5,1,7,5,52,0,1,1,1,0,1
1,0,3,9,15,1,0,0,1,0,1
13,0,7,1,9,1,0,1,1,0,1
21,1,8,3,67,1,0,0,1,0,1
26,1,3,7,42,1,0,1,1,0,1
50,1,2,4,89,0,0,1,1,0,1
45,0,6,2,57,0,0,1,0,1,1
21,0,4,3,59,0,0,1,0,0,1
18,1,8,7,23,0,0,0,1,1,1
37,0,2,8,75,0,0,0,0,0,1
45,1,4,9,84,0,1,1,0,0,1
32,0,2,6,15,1,0,1,0,0,1
36,1,2,10,99,1,0,1,1,0,1
17,0,2,9,98,1,0,0,1,1,1
35,1,1,4,8,1,1,0,0,0,1
49,0,4,5,5,1,1,0,0,0,1
11,0,2,1,64,0,0,0,0,0,1
21,1,9,9,77,0,0,0,0,0,1
26,0,9,9,23,1,0,1,1,0,1
4,0,7,9,9,0,0,0,0,0,1
34,1,6,3,81,0,1,0,1,1,1
48,0,3,10,72,0,1,0,0,1,1
18,0,7,10,26,0,0,0,1,1,1
40,0,1,10,82,0,1,1,1,1,1
35,1,9,8,99,1,1,1,1,1,1
41,1,4,3,2,1,1,1,1,1,1
29,1,6,6,37,0,1,0,1,1,1
29,1,6,5,72,0,0,1,1,0,1
38,1,3,8,73,0,1,1,1,1,1
42,0,4,3,72,1,1,0,0,1,1
21,0,10,1,16,0,0,1,1,1,1
42,1,3,9,47,0,0,0,0,1,1
13,0,6,10,48,0,0,1,0,0,1
49,0,1,9,42,0,0,0,0,1,1
41,0,8,3,83,1,1,1,0,1,1
17,0,8,2,6,1,0,1,0,1,1
9,1,9,4,67,0,1,0,0,1,1
41,1,6,8,73,1,0,1,0,0,1
1,0,1,6,20,0,1,0,1,0,1
2,0,3,10,77,1,0,1,0,1,1
48,1,1,1,24,0,0,0,0,0,1
29,0,5,8,80,1,1,1,0,1,1
33,0,3,5,60,0,0,1,0,0,1
10,0,2,6,27,0,0,1,0,0,1
50,1,3,5,77,0,0,0,0,0,1
40,1,9,10,51,0,0,0,1,0,1
21,0,8,5,12,1,0,0,0,1,1
28,0,3,3,33,1,0,1,0,0,1
11,0,2,4,66,1,0,0,0,1,1
34,0,5,5,3,1,0,0,0,1,1
8,0,1,2,43,0,0,1,0,0,1
22,0,4,6,14,1,0,0,1,0,1
8,1,8,2,83,1,1,0,0,0,1
49,1,1,4,7,1,1,0,0,1,1
15,0,5,1,4,1,1,1,1,1,1
17,1,4,4,65,0,1,0,0,0,1
23,0,6,7,91,0,0,0,1,1,1
24,0,7,8,85,1,1,0,1,0,1
45,1,9,2,72,1,0,1,1,0,1
19,1,1,3,91,0,0,0,0,0,1
5,0,10,1,45,0,1,1,0,0,1
32,0,4,7,64,1,0,0,1,1,1
44,1,6,4,99,1,1,1,1,0,1
1,1,10,10,65,1,1,0,0,1,1
23,0,7,8,25,1,1,0,0,1,1
37,0,7,5,30,0,1,1,1,1,1
8,0,8,9,50,0,0,1,1,0,1
13,1,10,6,40,0,1,0,0,1,1
8,0,8,10,50,0,1,0,1,0,1
23,1,8,2,18,0,0,0,1,1,1
43,0,8,1,94,0,1,0,1,0,1
1,1,8,1,72,1,0,0,1,0,1
45,1,6,9,2,0,1,0,1,1,1
24,1,9,1,37,1,1,1,0,1,1
35,1,3,3,69,0,0,1,0,1,1
24,0,6,2,44,1,0,1,0,0,1
17,1,5,4,70,0,0,1,0,0,1
5,1,8,1,40,0,1,0,1,0,1
20,1,4,1,24,1,1,1,0,1,1
21,0,4,4,88,1,1,1,1,0,1
40,0,10,4,49,1,0,1,0,0,1
31,0,10,7,0,1,0,1,1,0,1
46,0,5,8,53,0,1,0,1,0,1
36,0,6,8,85,0,0,1,0,1,1
11,0,4,8,83,0,1,1,1,0,1
15,1,2,9,12,0,1,0,1,1,1
19,1,2,1,39,0,0,0,0,0,1
7,1,3,9,20,1,0,1,0,0,1
28,0,2,10,86,0,1,1,1,0,1
43,1,1,8,40,0,0,1,0,1,1
5,1,8,1,60,1,1,0,1,0,1
5,0,5,7,32,0,0,1,0,1,1
30,1,10,9,72,1,0,0,1,0,1
32,0,1,4,28,0,0,0,0,1,1
8,1,9,9,54,0,1,1,0,0,1
10,0,8,1,31,0,1,1,0,1,1
38,0,4,9,10,1,1,0,1,1,1
47,0,8,6,51,1,1,0,0,0,1
32,1,10,4,35,1,0,0,0,0,1
48,1,7,5,92,0,0,0,1,1,1
28,0,7,7,30,1,1,0,0,0,1
17,0,1,10,13,0,1,0,1,0,1
31,1,6,4,62,0,1,1,0,0,1
8,1,4,8,51,1,0,1,0,1,1
40,0,10,3,53,1,0,1,0,1,1
25,1,10,2,49,1,0,1,1,0,1
9,1,10,1,88,0,1,0,0,0,1
2,1,2,6,53,1,1,0,1,1,1
15,0,10,2,89,0,0,1,0,0,1
50,0,7,8,85,0,1,1,0,0,1
3,1,9,10,72,1,1,1,1,1,1
49,0,5,4,96,0,0,1,1,0,1
36,1,8,9,86,1,1,1,0,1,1
4,1,5,4,98,0,0,0,1,0,1
14,0,7,4,83,0,1,0,1,1,1
41,0,7,8,96,0,1,1,0,1,1
41,0,9,8,34,1,1,1,1,0,1
25,1,3,5,29,0,0,1,1,1,1
50,1,1,3,54,0,0,1,0,0,1
10,0,2,2,93,0,1,1,0,1,1
21,0,6,9,85,1,1,1,1,1,1
36,0,10,9,0,0,0,1,1,0,1
12,1,10,5,14,0,1,1,1,0,1
27,1,9,8,24,1,1,0,0,1,1
40,1,3,7,19,0,0,1,1,0,1
2,0,10,3,70,1,1,1,0,1,1
13,0,2,5,15,1,1,1,0,1,1
32,1,1,9,51,1,1,0,1,1,1
31,0,2,4,86,0,1,1,1,0,1
16,0,3,3,84,0,0,0,1,1,1
32,0,7,7,64,0,0,1,1,0,1
32,0,2,8,83,0,0,0,1,1,1
34,1,5,5,82,0,1,0,0,1,1
11,0,2,8,69,0,0,1,1,0,1
10,1,7,5,95,1,1,1,1,0,1
15,1,10,9,0,1,1,1,0,0,1
17,0,8,7,93,1,1,0,0,1,1
40,1,8,5,15,0,0,0,0,1,1
18,1,8,9,26,1,1,1,0,0,1
9,0,10,5,17,1,1,0,0,0,1
25,1,9,8,76,0,1,1,1,0,1
40,1,1,4,43,0,0,0,0,1,1
14,1,1,9,49,1,1,1,0,1,1
25,1,10,6,91,1,0,1,0,1,1
50,1,2,6,73,0,0,0,1,0,1
22,1,6,3,13,1,1,0,0,1,1
30,1,1,3,51,1,1,0,1,0,1
20,1,5,4,92,0,0,0,1,0,1
21,0,5,1,74,1,0,0,1,0,1
44,0,4,6,49,0,0,1,1,1,1
32,0,5,1,90,0,0,1,1,1,1
46,1,1,4,16,1,1,0,0,1,1
49,1,6,7,2,1,1,0,1,0,1
21,1,7,6,61,0,0,0,1,1,1
35,0,8,8,94,0,0,1,0,1,1
32,0,2,4,20,1,0,1,0,0,1
30,0,7,9,32,0,1,1,1,0,1
39,1,6,10,0,1,0,1,0,0,1
49,0,9,8,69,1,0,1,1,1,1
12,0,8,5,55,0,0,1,0,0,1
41,1,4,6,3,1,0,1,1,0,1
47,0,9,5,21,1,0,0,1,1,1
18,1,1,6,76,0,0,1,1,0,1
21,0,6,1,57,1,0,1,0,0,1
13,1,8,4,43,0,0,1,0,1,1
21,1,4,9,56,0,1,1,0,0,1
8,1,2,4,93,1,1,0,0,1,1
46,1,2,2,39,0,1,0,1,0,1
40,1,10,6,89,0,0,0,0,1,1
46,0,1,2,55,1,1,0,0,0,1
7,1,5,3,62,1,0,1,1,0,1
23,1,6,7,38,1,1,0,1,1,1
44,1,4,4,6,1,0,1,0,1,1
32,1,4,1,13,0,1,0,1,1,1
11,0,5,9,89,0,1,0,0,0,1
22,1,5,6,17,0,0,0,0,0,1
22,0,9,9,54,1,1,1,0,0,1
43,1,8,3,55,0,1,0,1,1,1
25,1,9,5,87,1,1,0,1,0,1
22,0,3,9,56,1,1,0,1,1,1
28,0,3,6,57,1,0,1,1,0,1
29,0,1,2,24,0,0,1,1,1,1
13,1,10,1,95,0,0,1,0,1,1
18,0,6,9,69,1,0,1,0,1,1
2,1,4,1,79,1,0,1,1,1,1
29,0,8,5,2,1,1,0,0,0,1
21,0,2,1,20,1,0,1,0,1,1
15,1,2,5,31,0,0,0,1,0,1
27,0,7,5,1,0,0,1,1,0,1
50,0,5,7,19,1,0,0,1,1,1
31,1,1,7,74,0,0,1,0,1,1
15,1,7,10,17,1,0,0,1,0,1
23,1,7,1,53,1,1,1,0,0,1
24,0,10,9,74,1,1,1,1,0,1
44,0,6,1,98,1,0,1,1,1,1
13,0,4,5,35,0,0,0,1,0,1
22,0,8,7,75,1,0,1,1,0,1
43,0,2,8,60,0,1,0,1,0,1
37,1,2,2,59,1,0,0,0,0,1
33,0,2,1,94,1,1,1,0,0,1
3,1,3,4,35,0,1,0,1,0,1
19,0,6,4,93,0,0,1,1,1,1
23,1,1,10,43,0,1,0,0,1,1
29,0,2,6,67,1,1,1,1,1,1
30,0,10,1,65,1,0,0,1,1,1
39,1,2,1,43,0,1,0,0,1,1
44,0,1,3,76,0,1,1,0,0,1
47,1,3,5,89,1,0,1,0,1,1
25,0,10,6,28,1,0,0,0,0,1
37,0,7,5,47,0,1,0,0,1,1
47,1,1,5,35,0,0,1,1,1,1
8,0,7,9,91,1,0,0,0,1,1
42,1,5,2,7,1,0,0,0,1,1
16,0,9,1,4,1,0,0,0,0,1
8,0,2,6,95,1,1,0,0,0,1
1,0,1,9,93,1,0,0,0,1,1
44,0,9,7,77,0,0,1,1,0,1
5,0,8,8,46,1,0,0,1,1,1
3,0,10,5,42,0,0,1,0,0,1
1,0,6,10,9,1,1,0,1,1,1
4,1,5,4,9,1,1,1,1,0,1
40,0,8,6,5,1,1,1,1,0,1
35,0,8,3,15,1,1,1,1,1,1
32,0,5,1,59,0,1,0,1,1,1
42,1,7,4,25,1,0,0,0,0,1
34,1,1,9,20,1,1,1,1,0,1
43,0,4,4,99,1,0,0,0,1,1
25,0,2,1,57,0,1,1,0,1,1
10,0,10,4,40,1,0,1,1,1,1
21,1,3,7,29,1,1,0,0,1,1
46,0,1,3,4,0,0,0,0,0,1
39,1,2,10,9,1,1,0,1,0,1
27,0,1,6,94,0,0,0,0,1,1
27,1,8,1,10,0,1,1,1,0,1
2,1,4,4,62,1,0,1,1,1,1
41,0,3,3,6,1,1,0,0,0,1
48,0,1,1,58,0,0,1,1,0,1
13,0,2,3,11,1,0,0,1,0,1
9,0,3,4,63,1,1,1,1,0,1
36,0,3,5,40,0,0,0,1,1,1
22,0,6,6,59,0,1,0,1,1,1
42,0,10,2,71,1,0,1,1,0,1
26,1,8,2,27,1,0,0,1,0,1
12,0,6,6,79,1,1,1,0,1,1
17,0,2,5,62,1,0,1,1,1,1
14,1,2,1,2,0,0,1,1,1,1
14,0,7,3,100,1,0,0,1,0,1
34,0,1,5,31,1,1,1,0,1,1
20,0,1,2,20,1,1,1,0,1,1
11,0,7,1,54,0,0,0,1,1,1
16,1,9,9,17,0,1,0,1,0,1
31,1,5,5,52,1,1,0,1,0,1
6,0,1,2,74,0,1,1,0,1,1
19,0,5,10,60,0,0,1,0,1,1
37,1,1,4,49,1,1,1,1,0,1
4,0,10,3,7,0,0,0,0,0,1
47,1,9,7,11,0,1,0,1,0,1
4,1,4,1,50,1,0,1,1,1,1
20,1,9,10,65,0,0,0,1,1,1
10,0,2,4,40,0,0,1,0,0,1
24,0,7,7,21,1,0,0,0,1,1
35,0,2,10,8,1,1,0,0,0,1
26,1,4,5,77,0,1,0,1,0,1
37,0,6,4,78,1,1,0,1,0,1
38,0,2,4,10,1,1,1,0,1,1
21,1,2,2,12,0,1,1,1,1,1
40,0,2,8,55,0,0,1,0,1,1
39,0,3,4,27,1,0,1,0,0,1
21,0,5,2,88,1,1,1,1,0,1
10,1,9,9,63,1,1,0,0,1,1
38,0,6,10,100,0,1,0,1,0,1
46,1,9,7,63,0,0,0,1,0,1
4,1,10,3,69,0,0,0,1,1,1
45,1,5,7,54,1,0,1,0,0,1
20,0,6,1,36,0,1,1,0,1,1
17,0,10,1,32,0,0,0,0,1,1
7,0,8,4,24,1,1,1,0,1,1
4,1,3,4,22,0,1,1,1,0,1
29,1,2,4,59,1,0,1,0,1,1
14,0,3,9,55,1,1,0,0,1,1
3,1,9,6,62,1,1,1,1,0,1
24,0,6,3,7,1,0,0,1,1,1
37,0,10,6,16,1,0,1,1,1,1
16,0,4,2,94,0,1,0,1,0,1
4,0,10,2,89,1,1,0,0,0,1
24,0,3,7,56,1,1,0,1,1,1
34,0,2,3,74,1,1,0,0,1,1
30,0,4,7,61,1,1,0,0,0,1
18,1,9,3,93,0,1,1,0,1,1
19,0,4,2,10,0,1,0,1,0,1
31,1,5,4,66,0,1,1,1,0,1
19,1,8,4,39,0,1,1,0,1,1
49,0,2,3,39,1,0,0,0,1,1
46,1,3,9,55,1,1,1,1,1,1
19,1,6,6,52,1,0,1,1,0,1
22,1,7,5,84,0,1,1,0,1,1
24,0,4,6,98,1,0,0,0,0,1
45,0,1,8,27,0,0,1,1,1,1
12,0,7,5,85,1,1,1,1,0,1
30,0,9,4,41,1,0,0,0,0,1
38,0,1,7,45,0,0,0,1,0,1
31,1,1,5,17,1,0,1,1,0,1
36,1,1,4,22,1,0,1,1,0,1
19,0,10,5,25,1,1,1,0,0,1
48,1,7,4,98,1,0,1,1,1,1
45,1,9,8,28,1,1,1,1,0,1
36,1,3,8,51,0,0,0,1,0,1
30,1,8,1,74,1,0,0,1,1,1
49,0,9,3,45,1,1,1,1,1,1
33,0,3,4,0,0,0,1,1,0,1
18,0,3,2,62,1,1,1,1,0,1
49,1,1,5,15,1,1,1,1,0,1
28,1,2,8,24,1,1,0,0,1,1
47,0,7,2,61,1,0,0,0,0,1
11,0,3,9,81,1,0,1,1,0,1
45,1,7,7,79,1,1,1,0,0,1
33,0,5,6,82,0,1,0,1,0,1
17,0,10,8,15,0,0,0,1,1,1
6,1,8,2,68,1,0,0,0,1,1
4,1,5,5,90,1,1,1,0,0,1
20,0,3,4,69,1,0,1,1,1,1
48,1,9,8,33,1,1,1,1,0,1
47,0,7,1,79,1,0,0,1,0,1
27,1,5,3,52,0,1,1,0,1,1
15,1,7,10,22,1,0,0,0,0,1
6,0,10,8,42,0,0,0,1,1,1
47,1,9,5,43,1,0,1,1,1,1
14,0,5,4,31,0,0,0,1,0,1
11,1,7,6,22,0,1,0,0,1,1
39,0,9,5,19,0,0,1,1,1,1
9,1,1,3,18,0,1,1,1,1,1
26,1,4,5,92,1,1,0,1,1,1
16,0,1,4,71,1,1,1,0,0,1
5,1,8,1,28,1,0,0,1,0,1
10,0,3,1,17,1,1,0,1,1,1
50,1,2,7,68,1,1,1,0,1,1
3,1,4,4,11,0,1,0,0,1,1
13,0,3,1,9,1,1,0,0,1,1
43,1,5,6,36,0,1,0,0,1,1
49,1,8,1,80,1,0,0,1,1,1
30,0,10,8,95,0,0,1,0,1,1
45,1,8,9,54,1,0,0,0,0,1
6,0,7,3,3,0,0,1,1,0,1
17,0,8,7,94,0,0,0,0,0,1
45,0,5,5,62,1,0,1,0,0,1
19,1,10,3,89,0,1,1,1,0,1
42,1,10,5,11,0,1,0,1,1,1
35,0,6,10,17,1,1,0,1,1,1
46,1,8,7,7,0,0,1,1,1,1
26,0,1,7,31,0,1,0,0,0,1
5,1,6,9,83,1,1,0,1,0,1
29,0,6,8,48,0,0,1,1,1,1
37,0,5,4,62,0,0,0,1,1,1
20,1,4,5,76,0,0,1,0,0,1
49,0,1,5,58,0,0,1,1,0,1
21,0,10,10,86,1,0,0,0,1,1
10,1,8,2,66,1,1,0,0,1,1
5,0,6,7,98,1,1,0,1,1,1
36,0,3,7,38,1,0,1,0,0,1
6,1,3,9,49,1,0,0,1,1,1
26,0,6,9,84,1,0,1,0,1,1
4,0,7,4,70,0,0,0,1,0,1
39,0,8,5,25,0,0,1,1,0,1
39,0,5,7,22,0,1,0,1,1,1
50,0,10,10,95,1,1,0,0,0,1
35,0,6,7,62,1,0,1,1,1,1
1,0,1,10,65,0,0,0,0,0,1
24,0,6,8,38,0,0,1,0,1,1
36,1,9,8,65,1,0,0,1,1,1
6,0,10,2,45,0,1,0,0,0,1
41,0,4,9,14,1,0,0,0,1,1
46,1,10,4,15,0,0,1,1,1,1
44,0,1,1,89,1,0,0,0,0,1
31,0,9,1,71,0,1,0,0,0,1
20,0,4,5,15,1,1,0,1,0,1
24,0,2,7,84,0,0,0,1,0,1
25,0,1,5,38,1,0,1,1,0,1
36,0,3,3,10,0,1,0,1,0,1
21,1,7,7,87,0,0,1,0,0,1
30,1,10,1,35,0,1,0,0,0,1
24,1,2,1,17,1,0,1,1,1,1
44,1,9,2,22,0,1,1,0,1,1
42,1,2,1,76,0,1,0,1,0,1
30,0,5,9,48,1,0,1,1,0,1
22,0,8,4,41,0,0,0,0,1,1
28,0,10,7,43,0,1,0,1,0,1
7,0,8,5,0,0,0,1,0,1,1
35,0,3,7,6,0,0,1,0,1,1
28,1,2,7,47,0,0,1,0,0,1
14,1,9,1,84,0,0,0,1,1,1
10,0,3,1,15,0,1,1,0,1,1
16,0,8,3,47,1,1,1,0,0,1
16,0,2,10,77,0,1,0,0,1,1
31,1,3,2,42,1,0,0,1,1,1
42,1,1,7,50,0,0,1,0,1,1
25,0,6,3,65,1,0,0,1,1,1
13,1,7,7,30,1,0,1,0,1,1
6,0,4,9,38,0,1,0,0,0,1
44,1,1,1,8,1,0,1,0,0,1
9,1,3,3,40,0,1,1,1,1,1
45,0,9,6,62,1,0,1,1,1,1
36,1,5,9,13,1,1,1,1,0,1
43,1,6,5,57,1,0,1,0,0,1
20,0,4,3,73,1,1,0,0,0,1
18,1,1,8,87,0,0,1,0,1,1
43,0,5,5,96,0,1,1,1,0,1
21,1,5,6,97,1,0,1,1,0,1
4,0,5,2,83,1,0,1,1,0,1
50,0,6,4,63,0,0,0,0,1,1
33,1,2,1,27,1,0,1,1,1,1
27,1,1,4,3,1,1,1,0,0,1
7,0,2,1,33,0,1,0,0,1,1
6,1,10,4,3,1,1,0,0,0,1
15,1,6,2,69,1,0,1,0,0,1
18,1,5,6,57,1,0,1,0,1,1
32,0,5,6,85,0,0,0,1,1,1
11,0,6,8,3,1,0,1,1,0,1
20,0,10,9,49,1,1,1,0,1,1
24,1,7,8,4,0,1,1,1,1,1
15,1,9,1,74,0,1,0,0,1,1
48,0,7,3,44,0,1,0,0,1,1
7,0,2,6,34,0,1,1,1,0,1
21,1,6,1,82,0,0,0,0,0,1
42,1,9,8,74,1,1,0,1,0,1
26,1,7,6,74,1,1,0,0,0,1
44,1,2,1,26,1,1,1,1,0,1
14,0,3,10,1,1,1,0,0,1,1
37,1,8,2,53,1,0,0,0,1,1
21,1,9,6,71,0,0,0,1,0,1
18,0,4,10,97,0,0,1,0,0,1
5,0,9,8,83,0,1,0,0,0,1
3,1,2,5,86,0,1,1,1,0,1
23,0,5,1,78,1,1,0,1,1,1
26,1,2,10,47,0,0,1,1,1,1
37,1,1,2,76,1,0,0,0,1,1
24,0,5,4,94,1,0,0,0,1,1
49,0,2,4,48,0,1,1,1,1,1
19,1,7,7,77,1,0,1,0,1,1
25,0,8,2,0,0,0,0,1,1,1
21,1,2,7,90,0,0,1,1,0,1
12,1,7,7,32,0,1,0,0,0,1
41,1,4,7,34,0,1,1,0,0,1
33,0,1,3,53,0,0,0,0,1,1
50,1,3,6,55,1,0,1,1,1,1
4,1,1,6,14,1,0,0,0,0,1
42,1,5,4,68,1,0,0,0,0,1
7,0,8,1,100,0,1,1,1,1,1
22,1,1,9,3,1,1,1,0,1,1
33,1,9,2,83,1,0,0,1,1,1
17,1,3,9,63,1,0,0,0,1,1
24,0,5,8,21,0,0,0,1,1,1
34,1,9,1,23,0,0,1,0,1,1
28,1,5,7,46,1,0,0,0,0,1
43,0,9,10,74,1,1,1,1,1,1
41,0,10,3,5,1,1,1,0,0,1
39,1,8,10,26,1,1,1,0,0,1
22,1,7,10,9,0,0,1,0,0,1
49,1,1,9,38,1,0,1,1,1,1
17,0,4,5,73,1,1,1,0,1,1
34,0,9,3,89,1,0,1,1,0,1
6,1,10,8,36,0,1,1,0,1,1
46,0,8,3,53,0,0,0,1,1,1
6,1,4,7,96,1,1,0,1,0,1
34,1,1,7,50,0,1,1,0,0,1
1,0,10,7,59,0,0,0,1,0,1
10,1,4,1,71,0,0,1,1,1,1
21,0,3,5,50,1,0,1,1,1,1
5,0,6,1,61,0,1,1,0,1,1
2,1,5,7,48,1,1,1,1,0,1
22,0,5,8,50,0,0,1,1,1,1
48,1,2,7,27,0,1,1,0,1,1
2,0,3,1,35,1,1,1,1,1,1
10,1,6,3,24,1,1,1,0,0,1
34,1,2,10,35,0,0,1,1,0,1
16,1,4,3,76,0,1,0,0,1,1
48,0,2,7,59,1,0,0,0,0,1
39,1,9,4,6,0,0,0,1,0,1
22,0,3,3,64,1,1,0,1,1,1
12,0,10,6,72,1,1,1,1,1,1
24,0,10,10,91,1,0,1,0,0,1
47,0,6,6,35,0,1,1,0,1,1
40,0,1,10,93,0,1,0,0,1,1
38,1,10,5,72,1,0,0,0,1,1
10,0,3,6,29,0,0,0,1,1,1
35,1,8,3,98,1,1,0,0,1,1
49,1,5,10,46,0,1,0,0,1,1
32,0,8,5,90,0,0,1,1,1,1
7,1,2,9,28,0,1,1,0,0,1
21,1,7,4,4,0,0,1,1,1,1
20,0,9,2,64,1,0,0,1,1,1
26,1,7,5,68,0,0,1,1,0,1
4,0,3,3,62,1,0,0,1,1,1
46,0,7,3,92,0,0,1,0,1,1
22,0,8,4,55,1,1,0,1,1,1
15,1,1,4,16,0,1,1,1,0,1
40,1,3,5,50,1,0,0,0,1,1
21,1,5,7,36,0,0,1,0,1,1
15,1,6,4,87,1,0,0,0,0,1
22,0,3,7,90,0,0,1,0,0,1
28,0,4,9,8,0,0,1,1,1,1
14,1,5,3,37,0,0,1,0,1,1
27,0,3,5,52,1,1,0,0,1,1
41,1,4,4,12,1,0,0,1,1,1
40,0,5,9,89,0,0,1,1,0,1
28,0,2,5,52,1,1,1,1,1,1
26,0,10,10,74,0,1,1,0,0,1
49,0,9,2,87,0,0,0,0,1,1
2,0,10,10,96,0,0,0,1,0,1
25,1,8,1,48,1,0,1,0,1,1
3,1,6,7,69,1,0,1,0,0,1
8,0,10,1,34,0,0,0,0,0,1
44,1,3,8,15,1,0,0,1,1,1
33,0,2,9,12,1,1,0,0,1,1
42,0,7,7,10,0,0,1,0,1,1
35,0,8,9,86,0,0,0,1,0,1
6,0,10,10,1,1,1,0,0,1,1
39,1,1,6,93,0,0,1,1,1,1
23,0,6,7,18,0,1,0,1,0,1
25,1,7,3,44,1,1,0,0,0,1
50,0,9,9,45,1,1,1,0,1,1
43,0,3,3,46,1,0,0,0,0,1
19,1,2,6,48,0,1,1,0,0,1
5,0,5,4,78,0,1,1,0,0,1
11,0,10,9,41,1,0,1,0,0,1
12,1,1,1,32,1,1,1,1,0,1
10,1,6,9,40,0,1,0,0,0,1
8,1,9,4,68,1,1,1,0,1,1
24,0,10,10,85,1,0,0,1,1,1
28,0,9,5,90,0,1,0,0,1,1
41,1,7,1,98,0,1,0,1,1,1
36,1,7,1,18,1,0,0,0,1,1
37,0,8,6,38,1,1,1,1,1,1
21,0,10,10,6,0,0,0,0,1,1
8,1,2,1,38,0,1,0,0,1,1
9,1,6,2,97,0,0,0,0,0,1
47,1,5,3,33,0,0,1,1,1,1
15,1,5,7,90,1,1,0,1,1,1
48,0,3,2,43,0,1,0,1,0,1
46,0,3,5,68,0,0,0,1,0,1
40,0,6,9,67,1,1,0,1,1,1
18,0,10,10,62,1,0,1,0,0,1
42,1,10,8,70,1,1,1,1,1,1
20,0,7,8,47,0,1,1,0,0,1
6,1,1,2,2,1,0,1,1,1,1
12,0,3,1,84,0,1,1,0,0,1
2,0,1,9,33,0,1,0,1,0,1
7,0,10,10,8,1,1,1,0,1,1
16,1,3,4,60,0,1,1,0,1,1
3,0,5,9,19,1,0,0,1,1,1
45,1,9,7,39,1,0,1,0,1,1
3,1,3,6,11,0,0,0,1,1,1
27,0,10,10,27,0,0,1,0,0,1
50,1,10,9,47,0,1,0,0,0,1
43,0,9,10,96,1,0,0,1,1,1
